position,fen,rubichess_move,rubichess_eval,rubichess_nodes,rubichess_time,rubichess_success,stockfish_move,stockfish_eval,stockfish_nodes,stockfish_time,stockfish_success
77,r2qkb1r/ppp2ppp/2n2n2/4p1B1/2B1p3/3P1N2/PPP2PPP/RN1QK2R b KQkq - 0 7,e4f3,-5,148116,0.09816312789916992,True,e4f3,-2,91824,0.10505843162536621,True
78,r2qkb1r/ppp2ppp/2n2n2/3pp3/2B1P3/3P1N2/PPPb1PPP/RNBQK2R w KQkq - 1 7,b1d2,238,148982,0.11223888397216797,True,b1d2,210,93079,0.1502385139465332,True
79,r2qkb1r/ppp2ppp/2n2n2/4p1b1/2p1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 7,c1g5,-42,189903,0.14163613319396973,True,c1g5,-32,152295,0.17760467529296875,True
80,r2q1b1r/pppk1ppp/5n2/3pn1b1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQ - 0 8,c1g5,-131,523167,0.33969688415527344,True,c1g5,-149,123955,0.13869547843933105,True
81,r2qk2r/ppp2ppp/2n2n2/3pp1b1/1bB1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 7,c2c3,-279,123416,0.08980369567871094,True,c2c3,-225,49980,0.057852983474731445,True
82,r2qkb1r/ppp2ppp/2n2n2/4p1b1/2B1p3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 7,f3g5,497,494453,0.2754082679748535,True,f3g5,471,28359,0.02454352378845215,True
83,r2qkb1r/ppp2ppp/2n2n2/4p3/2p1P3/3P1N2/PPPQ1PPP/RNb1K2R w KQkq - 0 8,d2d1,-645,307612,0.1654186248779297,True,d2c1,-597,18800,0.018671274185180664,True
84,r2qkb1r/ppp2ppp/2n5/3pp1b1/2B1n3/1P1P1N2/P1P2PPP/RNBQK2R b KQkq - 0 7,f8b4,449,296430,0.19303321838378906,True,f8b4,300,49656,0.05836367607116699,True
85,r2qkb1r/ppp2ppp/5n2/3pn3/2B1P3/3P4/PPP2PPP/RNbQK2R w KQkq - 0 8,c4b5,-595,215797,0.12866687774658203,True,c4b5,-623,21425,0.010878324508666992,True
86,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1,b4f4,53,394846,0.27844834327697754,True,b4f4,8,640464,0.5497152805328369,True
87,8/2p5/3p4/KP5r/1R3pPk/8/4P3/8 b - - 0 1,h4g4,12,214375,0.12626409530639648,True,h4g4,6,135513,0.1335616111755371,True
88,8/2p5/3p4/KP5r/1R3p1k/6P1/4P3/8 b - - 0 1,h4g3,189,197531,0.1256566047668457,True,h4g3,131,110516,0.11453866958618164,True
89,8/2p5/K2p4/1P5r/1R3p1k/8/4P1P1/8 b - - 1 1,h4g3,0,120346,0.06663274765014648,True,h4g3,6,65352,0.07410001754760742,True
90,8/8/3p4/KPp4r/5p1k/8/4P1P1/1R6 w - - 0 2,b1h1,579,39688,0.0184326171875,True,b1h1,584,80890,0.04980778694152832,True
91,8/2p5/3p4/KP4kr/5R2/8/4P1P1/8 w - - 1 2,f4f7,476,77771,0.05215954780578613,True,f4f7,391,82762,0.08373117446899414,True
92,8/2p5/3p4/KP5r/1R3p2/6k1/4P3/8 w - - 0 2,b4b3,-217,276464,0.19986414909362793,True,a5a6,-173,247863,0.25038981437683105,True
93,8/8/3p4/KPp4r/5p1k/1R6/4P1P1/8 w - - 0 2,b3h3,578,58973,0.024474382400512695,True,b3h3,656,118013,0.08449339866638184,True
94,8/8/2k5/5p2/2K3p1/8/3P4/8 w - - 0 1,c4d4,-715,80511,0.03545808792114258,True,c4d4,-511,52028,0.033095359802246094,True
95,8/8/8/3k1p2/6p1/1K6/3P4/8 w - - 2 2,b3c3,-872,73035,0.04134869575500488,True,b3b4,-1070,137982,0.05619978904724121,True
