position_id,fen,engine,best_move,evaluation_cp,time_taken,nodes,depth_reached
11,r2qkb1r/ppp2ppp/2np1n2/4p3/2BPP1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 1,Stockfish,c4b5,26,0.21574068069458008,199236,15
12,r1bqkb1r/pppp1p1p/2n2np1/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,RubiChess,f3g5,143,0.04974102973937988,87193,15
12,r1bqkb1r/pppp1p1p/2n2np1/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,Stockfish,f3g5,144,0.06483745574951172,52811,15
13,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,RubiChess,g1f3,26,0.12216329574584961,180327,15
13,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,Stockfish,g1f3,17,0.38564085960388184,363953,15
14,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,RubiChess,g1f3,18,0.18939423561096191,284974,15
14,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,Stockfish,g1f3,24,0.14191532135009766,122475,15
15,2kr3r/pppq1ppp/3p1n2/2b1p3/2B1P1b1/2NP1N2/PPP1QPPP/R1B1K2R w KQ - 0 1,RubiChess,h2h3,542,0.07096028327941895,130510,15
15,2kr3r/pppq1ppp/3p1n2/2b1p3/2B1P1b1/2NP1N2/PPP1QPPP/R1B1K2R w KQ - 0 1,Stockfish,c4b3,424,0.047945261001586914,43042,15
16,r2qk2r/ppp2ppp/2np1n2/2b1p1B1/2B1P1b1/3P1N2/PPP1NPPP/R2QK2R w KQkq - 0 1,RubiChess,d1d2,-11,0.15142202377319336,207526,15
16,r2qk2r/ppp2ppp/2np1n2/2b1p1B1/2B1P1b1/3P1N2/PPP1NPPP/R2QK2R w KQkq - 0 1,Stockfish,d1d2,3,0.21277785301208496,197294,15
17,r1bq1rk1/ppp2ppp/2np1n2/4p3/1bB1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 1,RubiChess,c3e2,30,0.0780951976776123,140706,15
17,r1bq1rk1/ppp2ppp/2np1n2/4p3/1bB1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 1,Stockfish,c3e2,29,0.13523077964782715,129520,15
18,rnbqk2r/ppp2ppp/3p1n2/4p3/1bB1P3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 1,RubiChess,c1d2,-199,0.09851956367492676,164496,15
18,rnbqk2r/ppp2ppp/3p1n2/4p3/1bB1P3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 1,Stockfish,c1d2,-197,0.06544804573059082,57035,15
19,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 4 4,RubiChess,d2d3,-24,0.05507683753967285,94300,15
19,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 4 4,Stockfish,d2d3,-43,0.1875748634338379,177107,15
20,8/8/8/3k4/3P4/3K4/8/8 w - - 0 1,RubiChess,d3c3,0,0.0,10384,16
20,8/8/8/3k4/3P4/3K4/8/8 w - - 0 1,Stockfish,d3e3,1,0.021146297454833984,56739,15
21,8/8/8/2k1p3/4P3/3K4/8/8 w - - 0 1,RubiChess,d3c3,0,0.005824089050292969,6294,15
21,8/8/8/2k1p3/4P3/3K4/8/8 w - - 0 1,Stockfish,d3c3,0,0.008216381072998047,15784,15
22,8/8/3k4/2ppp3/2PPP3/3K4/8/8 w - - 0 1,RubiChess,d4c5,783,0.03396940231323242,88231,15
22,8/8/3k4/2ppp3/2PPP3/3K4/8/8 w - - 0 1,Stockfish,d4c5,655,0.02091813087463379,31022,15
23,8/1p6/kP6/8/8/8/5K2/8 w - - 0 1,RubiChess,f2e1,-701,0.01684403419494629,27431,15
23,8/1p6/kP6/8/8/8/5K2/8 w - - 0 1,Stockfish,f2e3,-558,0.11598968505859375,370798,15
24,8/8/8/8/8/3k4/3r4/3K3R w - - 0 1,RubiChess,d1c1,-4,0.13694381713867188,291604,15
24,8/8/8/8/8/3k4/3r4/3K3R w - - 0 1,Stockfish,d1c1,0,0.04249763488769531,58645,15
25,R7/8/8/8/8/3k4/3r4/3K4 w - - 0 1,RubiChess,d1e1,0,0.041823387145996094,86862,15
25,R7/8/8/8/8/3k4/3r4/3K4 w - - 0 1,Stockfish,d1c1,-1,0.033730506896972656,49552,15
26,8/8/8/R7/8/3k4/5r2/4K3 w - - 0 1,RubiChess,e1f2,796,0.03268551826477051,89555,15
26,8/8/8/R7/8/3k4/5r2/4K3 w - - 0 1,Stockfish,e1f2,510,0.010269641876220703,23387,15
27,8/8/8/8/5R2/3k4/5r2/4K3 w - - 0 1,RubiChess,f4f2,797,0.03184151649475098,80072,15
27,8/8/8/8/5R2/3k4/5r2/4K3 w - - 0 1,Stockfish,f4f2,506,0.013418436050415039,39391,15
28,8/8/8/8/8/3k1n2/8/4K1N1 w - - 0 1,RubiChess,g1f3,0,0.0,5865,16
28,8/8/8/8/8/3k1n2/8/4K1N1 w - - 0 1,Stockfish,g1f3,-2,0.03571271896362305,38483,15
29,8/8/8/3k4/8/8/3n4/4K1N1 w - - 0 1,RubiChess,e1d2,0,0.0029807090759277344,6809,16
29,8/8/8/3k4/8/8/3n4/4K1N1 w - - 0 1,Stockfish,e1d1,0,0.0790243148803711,91309,15
30,8/8/8/8/3k4/8/5n2/4KN2 w - - 0 1,RubiChess,e1f2,0,0.0,8128,16
30,8/8/8/8/3k4/8/5n2/4KN2 w - - 0 1,Stockfish,e1f2,0,0.09135651588439941,115562,15
31,8/8/8/3k4/8/8/3b4/4KB2 w - - 0 1,RubiChess,e1d2,0,0.00726008415222168,5971,16
31,8/8/8/3k4/8/8/3b4/4KB2 w - - 0 1,Stockfish,e1d2,41,0.02716803550720215,40938,15
32,8/8/8/3k4/8/8/3B4/4Kb2 w - - 0 1,RubiChess,e1f1,0,0.0,8827,16
32,8/8/8/3k4/8/8/3B4/4Kb2 w - - 0 1,Stockfish,e1f1,41,0.021198511123657227,37286,15
33,8/8/8/8/3k4/8/5b2/4KB2 w - - 0 1,RubiChess,e1f2,0,0.0,5884,16
33,8/8/8/8/3k4/8/5b2/4KB2 w - - 0 1,Stockfish,e1f2,35,0.019147872924804688,30112,15
34,8/8/8/8/8/8/3k1q2/4K2Q w - - 0 1,Stockfish,e1f2,535,0.021851539611816406,55383,15
35,8/8/8/8/8/3k1r2/8/4KR2 w - - 0 1,RubiChess,f1f3,775,0.03189897537231445,106285,15
35,8/8/8/8/8/3k1r2/8/4KR2 w - - 0 1,Stockfish,f1f3,470,0.017019987106323242,32764,15
36,8/8/8/8/8/3k1n2/8/4KR2 w - - 0 1,RubiChess,f1f3,775,0.03265738487243652,106229,15
36,8/8/8/8/8/3k1n2/8/4KR2 w - - 0 1,Stockfish,f1f3,540,0.0,35509,15
37,8/8/8/8/8/3k1b2/8/4KR2 w - - 0 1,RubiChess,f1f3,775,0.02933049201965332,106285,15
37,8/8/8/8/8/3k1b2/8/4KR2 w - - 0 1,Stockfish,f1f3,466,0.031540632247924805,96826,15
39,8/8/8/8/8/1K6/2P5/1k6 w - - 0 1,RubiChess,c2c4,967,0.07547450065612793,135879,15
39,8/8/8/8/8/1K6/2P5/1k6 w - - 0 1,Stockfish,c2c4,719,0.02104043960571289,68466,15
40,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4,RubiChess,f8b4,-20,0.17574357986450195,311609,15
40,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4,Stockfish,c7c5,-23,0.12045001983642578,117003,15
41,rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,RubiChess,c4d5,40,0.17042326927185059,287637,15
41,rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Stockfish,c4d5,30,0.11434793472290039,118660,15
42,rnbqkb1r/pp2pppp/5n2/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,RubiChess,e2e3,-34,0.18629980087280273,312799,15
42,rnbqkb1r/pp2pppp/5n2/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,Stockfish,d4c5,-7,0.3439598083496094,304499,15
43,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,RubiChess,d7d5,22,0.07842779159545898,137222,15
43,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,Stockfish,d7d5,15,0.18515396118164062,190847,15
44,r2qkb1r/ppp2ppp/2np1n2/4p3/2BPP1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 6,RubiChess,c4b5,60,0.08518123626708984,153149,15
44,r2qkb1r/ppp2ppp/2np1n2/4p3/2BPP1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 6,Stockfish,c4b5,26,0.20367789268493652,199236,15
45,r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,RubiChess,c3a4,25,0.09384703636169434,177754,15
45,r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,Stockfish,c3a4,12,0.13268160820007324,135206,15
46,rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 w - - 0 6,RubiChess,h2h3,89,0.19938945770263672,330269,15
46,rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 w - - 0 6,Stockfish,d1c2,73,0.35590577125549316,364013,15
47,r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQR1K1 w - - 0 6,RubiChess,c3a4,41,0.0868690013885498,122443,15
47,r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQR1K1 w - - 0 6,Stockfish,c3a4,29,0.19482183456420898,206367,15
48,r2q1rk1/ppp1bppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP1BPPP/R2Q1RK1 w - - 0 6,RubiChess,c3a4,19,0.13312697410583496,243270,15
48,r2q1rk1/ppp1bppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP1BPPP/R2Q1RK1 w - - 0 6,Stockfish,c3a4,10,0.12407231330871582,139788,15
49,r1bq1rk1/ppp1nppp/3p4/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,RubiChess,d3d4,602,0.10236907005310059,191642,15
49,r1bq1rk1/ppp1nppp/3p4/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,Stockfish,g1h1,510,0.05037188529968262,58128,15
50,r2q1rk1/ppp2ppp/2np1n2/2b1p3/1bB1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,RubiChess,c3d5,253,0.049903154373168945,102722,15
50,r2q1rk1/ppp2ppp/2np1n2/2b1p3/1bB1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,Stockfish,c3d5,299,0.058824777603149414,69815,15
51,r1bq1rk1/ppp2ppp/2np1n2/4p3/1bB1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,RubiChess,c3e2,30,0.08601880073547363,140706,15
51,r1bq1rk1/ppp2ppp/2np1n2/4p3/1bB1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 6,Stockfish,c3e2,29,0.1281111240386963,129520,15
52,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4,RubiChess,f8b4,-20,0.17703032493591309,311609,15
52,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4,Stockfish,c7c5,-23,0.11839437484741211,117003,15
53,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,RubiChess,f8c5,-5,0.10359740257263184,153530,15
53,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,Stockfish,f8c5,-15,0.16143250465393066,155628,15
54,rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 b - - 0 6,RubiChess,b8d7,-51,0.0355226993560791,64470,15
54,rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 b - - 0 6,Stockfish,c8f5,-38,0.19992566108703613,201607,15
55,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,RubiChess,f6e4,35,0.06562256813049316,123458,15
55,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Stockfish,f6e4,40,0.06285429000854492,60269,15
56,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,RubiChess,e2e3,-7,0.17267632484436035,295458,15
56,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Stockfish,e2e3,-17,0.07931828498840332,75757,15
57,r1b2rk1/2q1b1pp/p2ppn2/1p6/3QP3/1BN1B3/PPP3PP/R4RK1 w - - 0 1,RubiChess,c3d5,191,0.07054376602172852,106745,15
57,r1b2rk1/2q1b1pp/p2ppn2/1p6/3QP3/1BN1B3/PPP3PP/R4RK1 w - - 0 1,Stockfish,c3d5,179,0.09029436111450195,95356,15
58,rn2kbnr/p1pp3p/b3p1pq/1p3p1P/P1PP1P2/6Q1/1P1BP1P1/RN2KBNR b KQkq - 6 9,RubiChess,b5c4,97,0.2741081714630127,456387,15
58,rn2kbnr/p1pp3p/b3p1pq/1p3p1P/P1PP1P2/6Q1/1P1BP1P1/RN2KBNR b KQkq - 6 9,Stockfish,b5c4,100,0.1687943935394287,182190,15
59,1nbq1bnr/r2k2pp/ppppp3/5p2/QP1P1P2/2P2NPP/P3P3/RNB1KB1R b KQ - 0 10,RubiChess,g8f6,21,0.06991410255432129,122634,15
59,1nbq1bnr/r2k2pp/ppppp3/5p2/QP1P1P2/2P2NPP/P3P3/RNB1KB1R b KQ - 0 10,Stockfish,g8f6,8,0.30005621910095215,287260,15
60,rn1qkbnr/pbp1p2p/5pp1/3p4/2pP4/P2Q4/1P1BPPPP/RN2KBNR b KQkq - 2 8,RubiChess,c4d3,488,0.35480189323425293,805469,15
60,rn1qkbnr/pbp1p2p/5pp1/3p4/2pP4/P2Q4/1P1BPPPP/RN2KBNR b KQkq - 2 8,Stockfish,c4d3,741,0.02182745933532715,24881,15
61,rnb3nr/p2pbkp1/2p1p2p/qp1N1p2/PP6/2P2P1N/1BQPP1PP/R3KB1R w KQ - 2 11,RubiChess,b4a5,531,0.21988821029663086,473452,15
61,rnb3nr/p2pbkp1/2p1p2p/qp1N1p2/PP6/2P2P1N/1BQPP1PP/R3KB1R w KQ - 2 11,Stockfish,b4a5,708,0.006169795989990234,13648,15
62,r1bqkbnr/1pppp1pp/p7/5p2/Pn2P3/1P4P1/2PP1P1P/RNBQKBNR b KQkq - 0 5,RubiChess,f5e4,147,0.07057595252990723,125117,15
62,r1bqkbnr/1pppp1pp/p7/5p2/Pn2P3/1P4P1/2PP1P1P/RNBQKBNR b KQkq - 0 5,Stockfish,f5e4,176,0.10746550559997559,101582,15
63,rnbqk1nr/1pppbppp/p7/7P/3Pp3/2P5/PP2PPP1/RNBQKBNR w KQkq - 1 5,RubiChess,h5h6,36,0.05858111381530762,104063,15
63,rnbqk1nr/1pppbppp/p7/7P/3Pp3/2P5/PP2PPP1/RNBQKBNR w KQkq - 1 5,Stockfish,h5h6,41,0.10626888275146484,126772,15
64,rnbqkb1r/3pppp1/p4n1p/Ppp5/4PP2/8/1PPP2PP/RNBQKBNR w KQkq - 1 6,RubiChess,e4e5,-73,0.08902859687805176,152770,15
64,rnbqkb1r/3pppp1/p4n1p/Ppp5/4PP2/8/1PPP2PP/RNBQKBNR w KQkq - 1 6,Stockfish,d2d3,-78,0.13172197341918945,127948,15
65,1rbqkbnr/ppp1pp1p/n5p1/3p4/3PP3/PP6/2PB1PPP/RN1QKBNR b KQk - 0 5,RubiChess,d5e4,61,0.10808110237121582,199412,15
65,1rbqkbnr/ppp1pp1p/n5p1/3p4/3PP3/PP6/2PB1PPP/RN1QKBNR b KQk - 0 5,Stockfish,d5e4,75,0.0589451789855957,61580,15
66,1nbqkbnr/1pppp2p/r7/p4pp1/8/6PB/PPPPPP1P/RNBQ1KNR w k - 0 5,RubiChess,h3f5,104,0.15012383460998535,255169,15
66,1nbqkbnr/1pppp2p/r7/p4pp1/8/6PB/PPPPPP1P/RNBQ1KNR w k - 0 5,Stockfish,h3f5,76,0.26644301414489746,268323,15
67,rnbqkbn1/pp2pppr/7p/2pP4/2P5/P6P/1P1PNPPR/RNBQKB2 b Qq - 0 7,RubiChess,e7e6,-170,0.12049555778503418,223201,15
67,rnbqkbn1/pp2pppr/7p/2pP4/2P5/P6P/1P1PNPPR/RNBQKB2 b Qq - 0 7,Stockfish,e7e6,-173,0.09297013282775879,96596,15
68,rn1q1bn1/1ppkpppr/3pb3/p4P1p/P3P3/3P3N/1PPBK1PP/RN1Q1B1R b - - 2 8,RubiChess,e6f5,-438,0.15335869789123535,300310,15
68,rn1q1bn1/1ppkpppr/3pb3/p4P1p/P3P3/3P3N/1PPBK1PP/RN1Q1B1R b - - 2 8,Stockfish,e6f5,-433,0.08446025848388672,92659,15
69,rnbqkbnr/pppp3p/5p2/1P2p1p1/P7/7P/2PPPPP1/RNBQKBNR w KQkq - 0 5,RubiChess,e2e4,211,0.1433582305908203,242495,15
69,rnbqkbnr/pppp3p/5p2/1P2p1p1/P7/7P/2PPPPP1/RNBQKBNR w KQkq - 0 5,Stockfish,e2e4,192,0.07262253761291504,66418,15
70,rnbqk1r1/pppp1p1p/B4np1/4p3/1b2P3/NP3N2/P1PP1PPP/R1BQK2R b KQq - 4 6,RubiChess,b8a6,393,0.12038779258728027,226629,15
70,rnbqk1r1/pppp1p1p/B4np1/4p3/1b2P3/NP3N2/P1PP1PPP/R1BQK2R b KQq - 4 6,Stockfish,b8a6,418,0.03154897689819336,35274,15
71,r1bqkbnr/p1p4p/3p1p2/1p2p1p1/Pn1P2P1/2P2N2/1P1NPP1P/1RBQKB1R b Kkq - 1 8,RubiChess,b4a2,-181,0.2164320945739746,333466,15
71,r1bqkbnr/p1p4p/3p1p2/1p2p1p1/Pn1P2P1/2P2N2/1P1NPP1P/1RBQKB1R b Kkq - 1 8,Stockfish,b4a2,-180,0.11220002174377441,112044,15
72,rnbq1b1r/pppppk1p/7n/5pp1/P7/3QP3/1PPP1PPP/RNB1KBNR b KQ - 2 5,RubiChess,e7e6,-7,0.12681055068969727,204810,15
72,rnbq1b1r/pppppk1p/7n/5pp1/P7/3QP3/1PPP1PPP/RNB1KBNR b KQ - 2 5,Stockfish,e7e6,-17,0.18089556694030762,163441,15
73,rnbqkb1r/ppp1ppp1/3p4/5n1p/8/N2P4/PPP1PPPP/R1BQKBNR w KQkq - 0 5,RubiChess,e2e4,77,0.05356454849243164,96510,15
73,rnbqkb1r/ppp1ppp1/3p4/5n1p/8/N2P4/PPP1PPPP/R1BQKBNR w KQkq - 0 5,Stockfish,e2e4,96,0.12385344505310059,112335,15
74,rnbqkbn1/1pppp1p1/7r/p1P2P2/7p/1P3Q2/P2P1PPP/RNB1KBNR b KQq - 0 6,RubiChess,b8c6,-43,0.17752742767333984,295976,15
74,rnbqkbn1/1pppp1p1/7r/p1P2P2/7p/1P3Q2/P2P1PPP/RNB1KBNR b KQq - 0 6,Stockfish,b8c6,-117,0.37952470779418945,389440,15
75,r1bqkbnr/p1ppp3/n7/1p3ppp/2N3P1/5N1P/PPPPPP2/R1BQKB1R w KQkq - 0 6,RubiChess,c4e5,164,0.08984518051147461,173303,15
75,r1bqkbnr/p1ppp3/n7/1p3ppp/2N3P1/5N1P/PPPPPP2/R1BQKB1R w KQkq - 0 6,Stockfish,c4e5,187,0.07932209968566895,77551,15
76,rnb1kbn1/pp2ppp1/3p3r/3P3p/2p1PP1P/8/PPP2KP1/RNB2BNR w - - 2 10,RubiChess,f1c4,201,0.17987442016601562,314054,15
76,rnb1kbn1/pp2ppp1/3p3r/3P3p/2p1PP1P/8/PPP2KP1/RNB2BNR w - - 2 10,Stockfish,b1c3,200,0.05320882797241211,48473,15
77,rn1qkbn1/2p2p1r/b1Ppp2p/pp1P2p1/5P2/6P1/PP1NP2P/R1BQKBNR b KQq - 0 10,RubiChess,e6d5,12,0.252915620803833,360898,15
77,rn1qkbn1/2p2p1r/b1Ppp2p/pp1P2p1/5P2/6P1/PP1NP2P/R1BQKBNR b KQq - 0 10,Stockfish,e6d5,-22,0.566779375076294,594334,15
78,rn1qkbnr/1ppbpppp/3p4/p7/P2P3P/7N/1PPQPPP1/RNB1KB1R w KQk - 1 6,RubiChess,e2e4,33,0.11745619773864746,203056,15
78,rn1qkbnr/1ppbpppp/3p4/p7/P2P3P/7N/1PPQPPP1/RNB1KB1R w KQk - 1 6,Stockfish,e2e4,54,0.30026912689208984,294216,15
79,rnbqkbnr/pp1ppp2/6pp/8/2p5/2N2P1N/PPPPP1PP/R1BQKBR1 w Qkq - 0 5,RubiChess,e2e4,56,0.13185930252075195,226360,15
79,rnbqkbnr/pp1ppp2/6pp/8/2p5/2N2P1N/PPPPP1PP/R1BQKBR1 w Qkq - 0 5,Stockfish,e2e4,55,0.1772325038909912,190267,15
80,rnbqk1nr/p1ppppb1/6p1/8/1p1P2pP/2N1P3/PPPQ1P2/R1B1KBNR w KQkq - 0 7,RubiChess,c3e4,-189,0.13759636878967285,236871,15
80,rnbqk1nr/p1ppppb1/6p1/8/1p1P2pP/2N1P3/PPPQ1P2/R1B1KBNR w KQkq - 0 7,Stockfish,c3e4,-175,0.06638669967651367,66209,15
81,rn2kb1r/ppq1pppp/3p1n2/2p5/2P2PP1/3P4/PP2P2P/RNBQKbNR w KQkq - 1 7,RubiChess,e1f1,-238,0.14999103546142578,262552,15
81,rn2kb1r/ppq1pppp/3p1n2/2p5/2P2PP1/3P4/PP2P2P/RNBQKbNR w KQkq - 1 7,Stockfish,e1f1,-215,0.043617963790893555,40511,15
82,r1bqkbnr/pp1ppp1p/8/n1N3p1/6P1/5N2/PPPPPP1P/R1BQKB1R b KQkq - 0 5,RubiChess,h7h5,-67,0.16035151481628418,296580,15
82,r1bqkbnr/pp1ppp1p/8/n1N3p1/6P1/5N2/PPPPPP1P/R1BQKB1R b KQkq - 0 5,Stockfish,h7h5,-70,0.29996681213378906,307828,15
83,rnbqk2r/p1p2p1p/5np1/1p1pp3/3P4/b1N1P3/1PPQNPPP/1RB1KB1R w Kkq - 0 8,RubiChess,b2a3,487,0.1499195098876953,295591,15
